ime,zanr,datum_izdaje,cena,ocena_steam,stevilo_igralcev
VIDEOBALL,Adventure,2016-07-12,9.99,64,2805
Brothers in Arms: Hell's Highway,Adventure,2008-10-08,9.99,90,102921
Sang-Froid - Tales of Werewolves,Adventure,2013-04-05,14.99,69,244416
Revenge of the Titans,Adventure,2011-03-16,9.99,69,477961
Strider,Adventure,2014-02-19,14.99,66,421153
Dungelot : Shattered Lands,Adventure,2016-02-18,9.99,61,19287
DeadCore,Adventure,2014-10-17,9.99,64,179718
Call of Duty: Advanced Warfare,Adventure,2014-11-03,59.99,22,1016588
Deathsmiles,Adventure,2016-03-10,19.99,98,12624
LEGO Indiana Jones: The Original Adventures,Adventure,2009-07-08,19.99,31,37346
Condemned: Criminal Origins,Adventure,2012-10-29,14.95,84,460253
Dead Rising 2,Adventure,2010-09-27,19.99,31,460077
LEGO MARVEL Super Heroes,Adventure,2013-10-22,19.99,88,803382
Samurai Gunn,Adventure,2013-12-10,14.99,88,19462
Summoner,Adventure,2014-03-12,4.99,52,106428
Tom Clancy's Rainbow Six: Vegas 2,Adventure,2008-04-16,9.99,69,478838
Hand Of Fate,Adventure,2015-02-17,24.99,84,293685
Crashlands,Adventure,2016-01-21,14.99,78,44360
Deadlight,Adventure,2012-10-25,14.99,52,924888
Obliteracers,Adventure,2016-02-23,14.99,39,7364
Transcripted,Adventure,0000-00-00,7.99,N/A,28579
Hover Junkers,Adventure,2016-04-05,34.99,56,39626
Penumbra: Black Plague,Adventure,2009-01-23,9.99,93,311920
Desperados - Wanted Dead or Alive,Adventure,2013-11-20,4.99,30,89946
Star Wars Republic Commando,Adventure,2009-07-08,9.99,90,1157382
Teleglitch: Die More Edition,Adventure,2013-07-24,12.99,64,754989
Awesomenauts,Adventure,2012-08-01,9.99,72,1640077
Red Faction,Adventure,2009-08-05,9.99,84,526354
Galak-Z,Adventure,2015-10-29,9.99,43,179893
Duke Nukem: Manhattan Project,Adventure,2013-07-02,3.74,75,123961
Mount & Blade: Warband,Adventure,2010-03-31,19.99,96,2302315
Call of Juarez: Bound in Blood,Adventure,2009-07-02,9.99,61,201985
Armed and Dangerous,Adventure,2009-07-08,5.99,78,14903
Devil May Cry 4,Adventure,2009-12-22,19.99,84,276678
Zuma's Revenge,Adventure,2009-09-15,4.99,93,96609
Medal of Honor: Airborne,Adventure,2009-10-06,9.99,49,169022
RUNNING WITH RIFLES,Adventure,2015-04-02,14.99,78,184276
Call of Duty: Advanced Warfare - Multiplayer,Adventure,2014-11-03,59.99,N/A,1016588
Mushroom 11,Adventure,2015-10-15,14.99,54,103272
DeathSpank: Thongs Of Virtue,Adventure,2010-11-30,14.99,66,95557
Star Wars - Battlefront II,Adventure,2009-07-08,9.99,78,2341063
So Many Me,Adventure,2014-07-17,14.99,88,3682
Apotheon,Adventure,2015-02-03,14.99,78,152891
Watch_Dogs,Adventure,2014-05-26,29.99,23,695726
Zeno Clash,Adventure,2009-04-21,9.99,64,464811
Section 8: Prejudice,Adventure,2011-05-04,9.99,47,201108
The Void,Adventure,2009-12-15,9.99,59,152190
ACE COMBAT ASSAULT HORIZON Enhanced Edition,Adventure,2013-01-24,19.99,19,275976
Pix the Cat,Adventure,2015-01-29,1.99,61,70660
Mafia II,Adventure,2011-03-22,29.99,90,2352109
Sine Mora,Adventure,2012-11-09,9.99,59,228110
The Final Station,Adventure,2016-08-30,14.99,54,15079
The Incredible Adventures of Van Helsing II,Adventure,2014-06-13,14.99,26,372585
DeathSpank,Adventure,2010-10-25,14.99,90,126416
Arma 2,Adventure,2009-06-29,12.99,59,1135991
Angry Video Game Nerd Adventures,Adventure,2013-09-20,9.99,75,125890
Evolve,Adventure,2015-02-10,Free,25,4263078
Alien Swarm,Adventure,2010-07-19,Free,93,4552555
Anomaly 2,Adventure,2013-05-15,14.99,61,269313
TERA,Adventure,2015-05-05,Free,56,3515277
Road to Ballhalla,Adventure,2016-08-05,14.99,N/A,2981
Sonic Generations,Adventure,2011-11-03,19.99,88,660660
The Darkness II,Adventure,2012-02-06,29.99,78,1100573
Risk of Rain,Adventure,2013-11-08,9.99,90,1332365
Element4l,Adventure,2013-05-24,8.99,61,90472
Legacy of Kain: Soul Reaver 2,Adventure,2012-12-06,6.99,43,258969
Giana Sisters: Twisted Dreams,Adventure,2012-10-22,14.99,54,599293
Delta Force: Black Hawk Down,Adventure,2009-06-18,14.99,98,21741
Titan Quest,Adventure,2007-06-26,Free,64,1566963
Resident Evil Revelations / Biohazard Revelations UE,Adventure,2013-05-20,29.99,61,573518
Eldritch,Adventure,2013-10-21,14.99,72,212154
Sanctum 2,Adventure,2013-05-15,14.99,81,1473509
Deathtrap,Adventure,2015-02-04,19.99,59,104324
Escape Goat 2,Adventure,2014-03-24,9.99,98,46113
SteamWorld Dig,Adventure,2013-12-05,9.99,84,388365
ShootMania Storm,Adventure,2013-04-10,19.99,72,72413
Ziggurat,Adventure,2014-10-23,14.99,78,142196
Rising Storm/Red Orchestra 2 Multiplayer,Adventure,2011-09-13,19.99,84,2638080
The Aquatic Adventure of the Last Human,Adventure,2016-01-19,9.99,47,7715
Overture,Adventure,2015-02-02,4.99,66,159204
Tower of Guns,Adventure,2014-03-04,14.99,66,177438
Pathologic Classic HD,Adventure,2015-10-29,12.99,78,25073
JumpJet Rex,Adventure,2015-04-21,9.99,93,80478
Singularity,Adventure,2010-06-30,29.99,84,133955
Vindictus,Adventure,2012-06-22,Free,43,900517
PAYDAY: The Heist,Adventure,2011-10-20,14.99,88,4174359
The Ship,Adventure,2006-07-11,9.99,69,1300104
Insanely Twisted Shadow Planet,Adventure,2012-04-17,14.99,75,237929
Super Monday Night Combat,Adventure,2012-04-19,Free,31,1259777
DEADBOLT,Adventure,2016-03-14,9.99,93,32262
Din's Curse,Adventure,2012-08-22,9.99,72,15254
Sniper Elite,Adventure,2009-07-16,9.99,47,390820
Luckslinger,Adventure,2015-07-16,9.99,78,9819
Plain Sight,Adventure,2010-04-05,4.99,31,172880
Breakneck,Adventure,2016-02-01,4.99,N/A,1227
Lego Star Wars 3: The Clone Wars,Adventure,2011-03-22,19.99,66,115721
Battlestations: Midway,Adventure,2007-03-15,6.99,36,327700
Mercenary Kings,Adventure,2014-03-25,19.99,34,325771
Who's That Flying!,Adventure,2011-01-31,5.99,34,33840
Headlander,Adventure,2016-07-25,19.99,78,5786
Wolfenstein: The Old Blood,Adventure,2015-05-04,19.99,61,394502
Renegade Ops,Adventure,2011-10-26,15,69,710279
Galacide,Adventure,2015-07-28,9.99,84,12624
McPixel,Adventure,2012-09-25,4.99,59,458499
Metro: Last Light Redux,Adventure,2014-08-25,19.99,81,1085495
Syder Arcade,Adventure,2013-10-24,9.99,64,128345
PROTOTYPE 2,Adventure,2012-07-24,39.99,28,451135
Livelock,Adventure,2016-08-30,19.99,41,6312
Operation Flashpoint: Dragon Rising,Adventure,2009-10-06,9.99,20,682226
Gunpowder,Adventure,2015-07-08,3.99,N/A,7890
The Fall,Adventure,2014-05-30,9.99,78,171652
Castle In The Darkness,Adventure,2015-02-05,9.99,54,46814
Ys Origin,Adventure,2012-05-31,19.99,93,232669
Project: Snowblind,Adventure,2007-03-29,5.99,38,66802
Demigod,Adventure,2011-12-14,9.99,38,207946
Mortal Kombat X,Adventure,2015-04-13,29.99,14,571765
GoD Factory: Wingmen,Adventure,2014-08-29,19.99,36,39275
GUN,Adventure,2006-10-13,19.99,75,56633
Volgarr the Viking,Adventure,2013-09-13,9.99,66,202160
Miasmata,Adventure,2012-11-28,14.99,47,120805
Spec Ops: The Line,Adventure,2012-06-25,29.99,88,1526636
Victor Vran,Adventure,2015-07-24,19.99,81,227409
Tobe's Vertical Adventure,Adventure,2011-07-18,4.99,20,84336
Roundabout,Adventure,2014-09-18,9.99,88,33138
Battlezone 98 Redux,Adventure,2016-04-18,19.99,88,20689
Alice: Madness Returns,Adventure,0000-00-00,Free,69,641022
SiN Multiplayer,Adventure,2006-05-10,9.99,69,209875
Cubetractor,Adventure,2013-05-29,9.99,41,248273
Just Cause,Adventure,2007-03-15,6.99,28,1162992
Transformers: War for Cybertron,Adventure,2010-06-22,19.99,75,224954
SiN Episodes: Emergence,Adventure,2006-05-10,9.99,72,209700
Half Minute Hero: Super Mega Neo Climax Ultimate Boy,Adventure,2012-09-27,9.99,72,418874
Anodyne,Adventure,2013-03-22,9.99,64,176562
Beatbuddy: Tale of the Guardians,Adventure,2013-08-06,9.99,47,402568
Infested Planet,Adventure,2014-03-06,14.99,90,103973
Unreal II: The Awakening,Adventure,2008-03-17,14.99,41,251079
Furi,Adventure,2016-07-05,24.99,90,16657
Star Conflict,Adventure,2013-02-27,Free,56,1797176
NOT A HERO,Adventure,2015-05-14,12.99,72,133429
Red Faction: Armageddon,Adventure,2011-06-06,19.99,38,1639902
The Maw,Adventure,2009-03-09,9.99,54,59088
Mother Russia Bleeds,Adventure,2016-09-05,14.99,N/A,13150
Prince of Persia: The Forgotten Sands,Adventure,2010-06-08,9.99,30,210401
Fenix Rage,Adventure,2014-09-24,14.99,64,39275
Ring Runner: Flight of the Sages,Adventure,2013-11-19,4.99,61,128520
Satellite Reign,Adventure,2015-08-27,29.99,52,174984
Blacklight: Retribution,Adventure,2012-07-02,Free,45,2664029
S.T.A.L.K.E.R.: Clear Sky,Adventure,2008-09-15,9.99,61,605780
Manhunt,Adventure,2008-01-04,9.99,54,105727
Extreme Exorcism,Adventure,2015-09-23,12.99,N/A,1332
Symphony,Adventure,2012-08-06,8.99,64,218642
SiN,Adventure,2006-05-10,9.99,69,209875
Epistory - Typing Chronicle,Adventure,2016-03-30,14.99,96,56984
Iron Brigade,Adventure,2012-08-13,14.99,52,142371
Borderlands: The Pre-Sequel,Adventure,2014-10-13,39.99,52,1596419
12 is Better Than 6,Adventure,2015-11-20,3.99,64,41028
Magicka,Adventure,2011-01-25,9.99,88,3538071
SpellForce: Platinum Edition,Adventure,2009-11-03,9.99,66,153418
Street Fighter V,Adventure,2016-02-15,59.99,10,190062
Neon Chrome,Adventure,2016-04-28,14.99,93,5085
Sacred Gold,Adventure,2008-07-09,9.99,56,180594
Drox Operative,Adventure,2014-02-18,19.99,84,15429
Action Henk,Adventure,2015-05-11,14.99,81,15254
Call of Duty: Black Ops II - Multiplayer,Adventure,2012-11-12,59.99,N/A,2897750
Act of War: High Treason,Adventure,2008-03-12,2.99,49,23670
EDGE,Adventure,2011-08-11,7.99,84,395028
Titan Souls,Adventure,2015-04-14,14.99,45,261774
Serious Sam 2,Adventure,2012-01-31,9.99,69,772523
"Warhammer 40,000 Space Marine",Adventure,2011-09-05,29.99,84,1069714
Age of Wushu,Adventure,2014-03-27,Free,20,47165
Zombie Vikings,Adventure,2015-12-07,11.99,59,6663
Insurgency,Adventure,2014-01-22,4.99,81,2831298
Comanche 4,Adventure,2009-06-18,9.99,N/A,15955
Call of Duty: Black Ops II,Adventure,2012-11-12,59.99,61,2897750
Our Darker Purpose,Adventure,2014-01-29,2.24,52,62945
"Warhammer 40,000: Deathwatch - Enhanced Edition",Adventure,2015-10-16,14.99,20,14728
"Guns, Gore & Cannoli",Adventure,2015-04-30,9.99,90,30859
Black Mesa,Early Access,2015-05-05,19.99,88,282464
Breakneck,Early Access,2016-02-01,4.99,N/A,1227
HAWKEN,Early Access,2014-02-14,Free,64,3101138
Parkitect,Early Access,2016-05-05,17.99,88,41905
Soviet City,Early Access,2016-03-31,11.99,72,1227
Holodrive,Early Access,2016-03-24,9.99,69,99590
Spellblast,Early Access,2016-02-22,0.99,N/A,5786
The Culling,Early Access,2016-03-04,14.99,32,488131
Hooligan Fighters,Early Access,2016-01-18,Free,34,42080
Moonshot,Early Access,2015-12-21,11.99,78,2805
Demented,Early Access,2015-11-18,5.99,N/A,11747
Bitardia,Early Access,2015-11-20,6.99,69,13150
Queen Under The Mountain,Early Access,2015-09-29,29.99,N/A,533
Magical Brickout,Early Access,2015-08-28,5.99,N/A,8065
Zone 22,Early Access,2015-07-31,14.99,N/A,2630
Jet Racing Extreme,Early Access,2015-07-14,3.99,34,123961
New kind of adventure,Early Access,2015-06-04,0.99,6,143599
Space Rogue,Early Access,2015-05-14,19.99,36,3156
All Guns On Deck,Early Access,2015-08-28,12.99,N/A,5611
Mad Games Tycoon,Early Access,2015-01-05,14.99,81,58211
Tiny Trek,Early Access,2015-01-20,4.99,N/A,7890
Spectre,Early Access,2014-11-03,4.99,N/A,6312
Xsyon - Prelude,Early Access,2014-12-29,29.99,39,4208
Dwelvers,Early Access,2014-09-11,19.99,54,8416
Dungeon Dashers,Early Access,2013-10-25,9.99,10,8241
Smashmuck Champions,Early Access,2013-09-11,Free,45,223376
Pixel Cup Soccer 17,Early Access,2016-08-04,9.99,N/A,701
House of Alice,Early Access,2016-07-11,9.99,N/A,533
Machine Made: Rebirth,Early Access,2016-07-19,4.99,100,2455
Eador. Imperium,Early Access,2016-06-02,19.99,38,2664
Shaolin vs Wutang,Early Access,2016-05-09,12.99,69,1052
No1Left,Early Access,2016-02-19,8.99,N/A,514
Rencounter,Early Access,2016-01-22,5.99,N/A,1227
Bionite: Origins,Early Access,2015-12-24,11.99,N/A,799
Legend of Dungeon: Masters,Early Access,2015-11-30,Free,22,102395
Dragon Rider,Early Access,2015-11-02,Free,N/A,514
tricone lab,Early Access,2015-11-12,9.99,N/A,1403
The Cursed Forest,Early Access,2015-09-11,10.99,84,2104
"DvDrum, Ultimate Drum Simulator!",Early Access,2015-09-01,12.99,N/A,6838
Dungeon League,Early Access,2015-07-23,9.99,N/A,1403
Forest Warrior,Early Access,2015-06-25,3.99,N/A,22092
Panda School Browser,Early Access,2015-05-22,3.99,N/A,2981
VR Karts,Early Access,2015-04-17,Free,N/A,1066
OBEY,Early Access,2015-05-21,14.99,88,4559
Noct,Early Access,2015-10-21,9.99,36,58036
Zen Fish SIM,Early Access,2014-09-18,Free,N/A,799
BLOCKADE 3D,Early Access,2014-12-19,Free,18,3157595
Atajrubah,Early Access,2014-11-27,Free,N/A,1332
Drifter,Early Access,2014-03-04,11.99,31,10520
Universe Sandbox ,Early Access,2015-08-24,24.99,90,193569
CyberThreat,Early Access,2016-08-18,19.99,N/A,799
Steampuff: Phinnegan's Factory,Early Access,2016-07-28,9.99,N/A,1599
BrainBread 2,Early Access,2016-07-20,Free,N/A,737631
RoShamBo Arena,Early Access,2016-07-14,Free,23,140443
Space Universe,Early Access,2016-06-15,14.99,N/A,514
Z. Year One,Early Access,2016-08-22,19.99,N/A,533
Chamber 19,Early Access,2016-05-27,14.99,N/A,799
3030 Deathwar Redux,Early Access,2016-04-28,12.99,96,2455
Orange Moon,Early Access,2016-07-06,9.99,N/A,2279
Cube Land Arena,Early Access,2016-03-29,1.99,N/A,7539
Operation Caucasus,Early Access,2016-03-16,Free,N/A,10169
Megalo Polis,Early Access,2016-02-26,9.99,N/A,514
Kopanito All-Stars Soccer,Early Access,2015-09-17,11.99,56,24196
CAT Interstellar,Early Access,2015-08-28,3.99,36,25949
RPG MO,Early Access,2015-08-18,Free,45,241611
Dungeon Souls,Early Access,2015-07-02,12.99,78,39801
LEGO Worlds,Early Access,2015-06-01,14.99,54,435706
Tree of Life: Beginning of a Journey,Early Access,2015-05-27,13.99,47,76095
Project Explore,Early Access,2015-03-20,1.99,54,9819
Grimoire: Manastorm,Early Access,2015-02-04,9.99,32,208648
Oort Online,Early Access,2014-11-13,34.99,28,11923
Black The Fall,Early Access,2014-07-04,Free,N/A,1541
Dog Sled Saga,Early Access,2014-12-08,7.99,88,5260
Conquest of Champions,Early Access,2014-04-23,Free,17,124312
Take On Mars,Early Access,2013-08-01,21.99,28,63646
Line of Sight,Early Access,2016-09-08,9.99,31,2455
Fruit Ninja VR,Early Access,2016-07-07,14.99,90,14903
Aiball,Early Access,2016-06-22,1.99,43,701
Snow Fortress,Early Access,2016-06-09,9.99,N/A,1929
Dogfight Elite,Early Access,2016-06-11,19.99,N/A,514
Boundel,Early Access,2016-04-30,4.99,38,5786
Fantasy Tales Online,Early Access,2016-05-05,Free,47,103623
Elements II: Hearts of Light,Early Access,2016-04-01,4.99,N/A,68906
Beach Ball Valley,Early Access,2016-04-05,2.99,N/A,1541
Hull BreacH,Early Access,2016-03-17,16.49,N/A,514
Demesne,Early Access,2016-03-11,19.99,22,514
The Black Death,Early Access,2016-04-19,19.99,18,15079
Super Bomb Rush!,Early Access,2016-02-02,7.99,N/A,1753
a Family of Grave Diggers,Early Access,2016-01-08,9.99,N/A,3156
Rise of Keepers,Early Access,2015-12-04,12.99,N/A,877
Liftoff,Early Access,2015-11-09,19.99,59,20163
Zombie Grinder,Early Access,2015-10-16,8.99,52,12098
The District,Early Access,2015-03-31,0.99,1,54178
Predestination,Early Access,2015-02-04,29.99,N/A,5085
CaesarIA,Early Access,2015-01-20,Free,26,263527
Ensign-1,Early Access,2014-11-13,0.99,N/A,10695
Automation - The Car Company Tycoon Game,Early Access,2015-03-12,29.99,69,48918
Claustrophobia: The Downward Struggle,Early Access,2014-09-09,4.99,19,21741
Kingdoms Rise,Early Access,2013-11-18,14.99,15,50496
Paddle Up,Early Access,2016-08-24,9.99,93,2104
VeeR Pong,Early Access,2016-07-19,9.99,N/A,514
Video blogger Story,Early Access,2016-06-13,6.99,59,8942
Disgraced,Early Access,2016-06-20,6.99,N/A,1578
Aerofly FS 2 Flight Simulator,Early Access,2016-05-19,49.99,47,7539
Concrete and Steel,Early Access,2016-05-27,12.99,N/A,1599
Warbit,Early Access,2016-04-19,0.99,28,9643
Bunker Punks,Early Access,2016-03-30,14.99,90,4734
Love is Blind: Mutants,Early Access,2016-03-15,1.99,2,22969
Overpower,Early Access,2016-04-20,8.99,N/A,1865
Star Rogue,Early Access,2016-02-01,9.99,N/A,1027
Bunny Bash,Early Access,2016-04-28,15.99,N/A,514
Metal War Online: Retribution,Early Access,2015-12-01,Free,13,351896
Empires Of Creation,Early Access,2015-11-20,4.99,N/A,6663
Descent: Underground,Early Access,2015-10-22,29.99,43,34892
Angels Fall First,Early Access,2015-10-01,17.99,47,28579
Acaratus,Early Access,2016-02-25,24.99,N/A,514
DRIFT 84,Early Access,2015-07-14,2.99,N/A,877
OreLight,Early Access,2015-06-29,14.99,17,3156
Vox,Early Access,2013-11-12,9.99,2,22267
Clockwork Empires,Early Access,2014-08-15,29.99,36,23495
Footbrawl Playground,Early Access,2016-09-01,5.99,N/A,514
Spellgear,Early Access,2016-08-19,19.99,N/A,514
Tails,Early Access,2016-08-08,7.99,N/A,514
Trials of Azra,Early Access,2016-08-01,9.99,N/A,514
SoundStage,Early Access,2016-07-07,9.99,98,7715
Pong Waves VR,Early Access,2016-06-20,4.99,81,8416
Deathwave,Early Access,2016-06-09,4.99,N/A,1027
Shadow Heroes: Vengeance In Flames,Early Access,2016-05-20,9.99,N/A,514
Snooker Nation Championship,Early Access,2016-04-27,4.99,45,4734
StarsOne,Early Access,2016-04-08,9.99,56,6312
Judgment: Apocalypse Survival Simulaiton,Early Access,2016-04-11,14.99,56,5260
Origin Of Destiny,Early Access,2016-04-01,Free,38,36119
Jump Tanks,Early Access,2016-03-08,Free,N/A,877
Vernon's Legacy,Early Access,2016-03-30,5.99,N/A,1929
Heathen Engineering's Terran,Early Access,2016-03-21,39.99,N/A,701
Mines of Mars,Early Access,2015-12-18,6.99,N/A,10169
Rothschild: The Sheep Will Wake,Early Access,2015-11-23,9.99,N/A,701
Cannibal,Early Access,2015-10-28,13.99,N/A,799
CRYPTARK,Early Access,2015-10-07,14.99,88,12449
Sketch Tales,Early Access,2015-09-28,9.99,75,3682
Fishing Planet,Early Access,2015-08-11,Free,49,1622193
Temporal Shift,Early Access,2015-07-16,9.99,N/A,1027
Shadows Peak,Early Access,2016-03-18,7.99,N/A,2931
Barren Roads,Early Access,2015-06-01,8.99,20,799
Demise of Nations: Rome,Early Access,2015-04-21,Free,43,77673
Voxelized,Early Access,2015-03-19,Free,4,267735
KeeperRL,Early Access,2015-03-31,14.99,78,12098
Catacomb Kids,Early Access,2015-02-20,15.99,93,10345
Urban Legends,Early Access,2015-01-30,6.99,N/A,9643
Creativerse,Early Access,2014-08-12,Free,61,1838906
Garage Drummer VR,Early Access,2016-06-21,5.99,N/A,877
Watson's Watch,Early Access,2016-06-06,7.99,N/A,5786
RimWorld,Early Access,2016-07-15,29.99,96,302276
Junk Jack,Early Access,2016-04-27,14.99,88,3331
Rebirth of Island,Early Access,2016-04-15,4.99,N/A,7890
Bullshot,Early Access,2016-04-07,1.99,54,9994
CounterAttack,Early Access,2016-04-21,7.99,N/A,2279
DAMAGE CONTROL,Early Access,2016-04-05,4.99,N/A,11221
Space Pirate Trainer VR,Early Access,2016-04-05,14.99,96,74342
Planetoid Pioneers,Early Access,2016-04-15,39.99,N/A,526
Cat Simulator,Early Access,2016-02-12,4.99,N/A,1929
Sniper Tactical,Early Access,2016-01-08,4.99,N/A,877
Marooners,Early Access,2016-03-24,12.99,78,1753
Megatect,Early Access,2015-11-04,7.99,N/A,2104
Kingdoms,Early Access,2015-10-23,9.99,18,16832
Novus Inceptio,Early Access,2015-10-05,19.99,43,7013
Shallow Space,Early Access,2015-10-21,14.99,N/A,10345
Empyrion - Galactic Survival,Early Access,2015-08-05,19.99,61,227058
Abducted,Early Access,2015-07-28,5.99,N/A,19111
Cash_Out,Early Access,2015-05-27,4.99,N/A,2455
Battle Brothers,Early Access,2015-04-27,19.99,88,31560
MyDream,Early Access,2015-02-20,14.99,72,1403
Amazing Frog,Early Access,2014-11-21,15.99,72,28579
The Repopulation,Early Access,2014-12-22,Free,26,36294
Virus 14,Early Access,2015-01-29,6.99,N/A,11046
Purgatory: War of the Damned,Early Access,2015-02-11,14.99,N/A,9117
Signs of Life,Early Access,2014-01-27,9.99,61,41379
Dungeon Defenders II,Early Access,2014-12-05,Free,45,2174846
NIGHTSTAR,Early Access,2016-08-18,14.99,N/A,1027
