ime,zanr,datum_izdaje,cena,ocena_steam,stevilo_igralcev
Warhammer: End Times - Vermintide,Adventure,2015-10-23,29.99,52,554232
Chivalry: Medieval Warfare,Adventure,2012-10-16,24.99,61,3707444
Anarcute,Adventure,2016-07-12,14.99,90,4033
Super House of Dead Ninjas,Adventure,2013-02-18,6.99,98,113091
RAGE,Adventure,2011-10-03,9.99,45,1274154
Jotun,Adventure,2015-09-29,7.49,64,73991
Gothic II: Gold Edition,Adventure,0000-00-00,9.99,56,343831
Day of Defeat,Adventure,2003-05-01,4.99,78,7387710
Assassin's Creed,Adventure,2008-04-09,19.99,59,769016
The Incredible Adventures of Van Helsing: Final Cut,Adventure,2015-11-06,44.99,34,123260
Half Minute Hero: The Second Coming,Adventure,2014-04-04,9.99,93,74517
Bloodline Champions,Adventure,2011-10-28,Free,69,615774
Shadowgrounds: Survivor,Adventure,2007-11-14,9.99,19,473753
Dustforce,Adventure,2012-01-17,9.99,69,513203
Altitude,Adventure,2009-12-04,Free,88,432900
Call of Juarez Gunslinger,Adventure,2013-05-22,14.99,93,934181
Race The Sun,Adventure,2013-12-09,9.99,88,768140
Street Fighter X Tekken,Adventure,2012-05-11,29.99,23,125364
F.E.A.R. 2: Project Origin,Adventure,2009-02-12,14.99,69,1807170
